city,city_ascii,region_id,lat,lng,population,density,id
Woodlawn,Woodlawn,AR,33.9668,-92.0452,69,13.1,1840075576
Trail,Trail,MN,47.7833,-95.6981,69,18.6,1840009961
Waumandee,Waumandee,WI,44.3024,-91.7051,69,109.3,1840025360
Skwentna,Skwentna,AK,61.9314,-151.2096,69,0,1840023373
Mizpah,Mizpah,MN,47.9209,-94.2132,69,10.9,1840007683
Valley Head,Valley Head,WV,38.5472,-80.032,69,66.5,1840025636
Robbins,Robbins,TN,36.3536,-84.5839,69,20.6,1840025756
Old Agency,Old Agency,MT,47.3226,-114.2987,69,41.6,1840018384
Royal,Royal,NE,42.3329,-98.1252,69,13.8,1840011189
Twin Hills,Twin Hills,AK,59.0815,-160.2826,69,1.2,1840023616
Frankewing,Frankewing,TN,35.1943,-86.857,69,26.6,1840036042
Hornitos,Hornitos,CA,37.5026,-120.2388,69,24.8,1840026811
Ashley,Ashley,MO,39.2537,-91.2239,69,16.7,1840025602
Dawn,Dawn,MO,39.6713,-93.6341,69,30.1,1840025586
Union Grove,Union Grove,AL,34.4025,-86.4483,69,47.2,1840016621
Englevale,Englevale,ND,46.3912,-97.9038,69,18.4,1840023870
Melvin Village,Melvin Village,NH,43.6896,-71.3064,69,22.4,1840026134
De Witt,De Witt,MO,39.3849,-93.2199,69,141.5,1840007337
Weitchpec,Weitchpec,CA,41.1969,-123.6939,69,5.8,1840130823
Whitney,Whitney,NE,42.7837,-103.2567,69,79.8,1840011031
Fittstown,Fittstown,OK,34.6091,-96.6405,69,28.8,1840034443
Dumb Hundred,Dumb Hundred,PA,40.317,-78.4105,69,98.2,1840151952
Westford,Westford,NY,42.6511,-74.8005,69,17.1,1840153004
Trosky,Trosky,MN,43.8884,-96.2509,68,20,1840010026
Dekorra,Dekorra,WI,43.4539,-89.4603,68,33.4,1840123629
Gardner,Gardner,CO,37.7889,-105.1644,68,12.8,1840028478
Chimney Hill,Chimney Hill,VT,42.8888,-72.904,68,4.3,1840142525
Grace City,Grace City,ND,47.5513,-98.8039,68,49.1,1840000140
Springbrook,Springbrook,WI,45.9469,-91.6889,68,21.5,1840038028
Rodney,Rodney,IA,42.2045,-95.9507,68,61.8,1840009156
Powersville,Powersville,MO,40.5496,-93.3002,68,41.1,1840012133
Homestown,Homestown,MO,36.3318,-89.8242,68,84.6,1840007672
Maskell,Maskell,NE,42.6904,-96.9809,68,55,1840011098
Peach Creek,Peach Creek,WV,37.877,-81.9797,68,77.7,1840038159
De Graff,De Graff,MN,45.26,-95.4683,68,45.7,1840006729
Mountain,Mountain,ND,48.6843,-97.8648,68,39.3,1840000015
Sharon,Sharon,GA,33.5601,-82.795,68,38.1,1840015692
Smicksburg,Smicksburg,PA,40.8702,-79.1711,68,80.5,1840002790
Keystone,Keystone,WV,37.4158,-81.4463,68,153.7,1840006420
Eagle Rock,Eagle Rock,MO,36.55,-93.7422,68,19.7,1840025744
Kinross,Kinross,IA,41.4591,-91.9873,68,77.4,1840008220
Prescott,Prescott,OR,46.0487,-122.8879,68,120.2,1840019907
